"time","V1","V2","Va","D","y1 (% relative to rated power)","y2 (% relative to rated power)","out1","out2"
"11/01/2010 00:10",10.4,10.3,10.0508661842625,65.59,70.9818181818182,69.8606060606061,0,0
"11/01/2010 00:20",10.5,10.2,9.95566939980264,64.24,70.8787878787879,69.6909090909091,0,0
"11/01/2010 00:30",10.6,10,9.76322757531994,64.82,73.9878787878788,68.0969696969697,0,0
"11/01/2010 00:40",10.3,9.9,9.66861209703681,64.96,72.369696969697,67.8060606060606,0,0
"11/01/2010 00:50",10.8,10.8,10.549918213125,64.2,81.8424242424242,81.6545454545454,0,0
"11/01/2010 01:00",11.3,10.7,10.454917778897,64.82,87.3212121212121,81.6727272727273,0,0
"11/01/2010 01:10",11.4,11.1,10.848048943598,67.25,86.7333333333333,86.8424242424242,0,0
"11/01/2010 01:20",11.5,11.5,11.2410277298132,67,88.8787878787879,94.4545454545455,0,0
"11/01/2010 01:30",11.5,11.3,11.0483963683816,67.53,90.4727272727273,90.4606060606061,0,0
"11/01/2010 01:40",11.2,11,10.7577674751981,66.3,85.9878787878788,86.4545454545455,0,0
"11/01/2010 01:50",11,11.1,10.8580134422592,66.83,83.2060606060606,88.6060606060606,0,0
"11/01/2010 02:00",10.8,11.1,10.8604635730635,66.92,81.0424242424242,89.4121212121212,0,0
"11/01/2010 02:10",10.7,10.8,10.5683634303256,67.23,78.8484848484848,86.7878787878788,0,0
"11/01/2010 02:20",10.7,10.8,10.5691589162028,66.87,76.4242424242424,84.4787878787879,0,0
"11/01/2010 02:30",10.3,10.1,9.88525503034934,70.58,69.5090909090909,73.8666666666667,0,0
"11/01/2010 02:40",9.7,9.6,9.39811151645055,69.84,60.7333333333333,64.5393939393939,0,0
"11/01/2010 02:50",9.4,9.3,9.10440083144764,69.07,54.6363636363636,58.0363636363636,0,0
"11/01/2010 03:00",9.2,9,8.81094350022949,65.95,51.1757575757576,53.7272727272727,0,0
"11/01/2010 03:10",9.3,9.1,8.90890743302931,68.69,53.2666666666667,54.6181818181818,0,0
"11/01/2010 03:20",8.8,8.4,8.22454238233182,66.42,45.1030303030303,44.2060606060606,0,0
"11/01/2010 03:30",8.5,8.2,8.02881594178699,66.48,38.8666666666667,40.8060606060606,0,0
"11/01/2010 03:40",8.5,8.3,8.12631024484934,68.93,40.2969696969697,42.2,0,0
"11/01/2010 03:50",8.7,8.6,8.42047465676155,71.13,41.8424242424242,46.1818181818182,0,0
"11/01/2010 04:00",9.3,9,8.81278887708751,69.53,51.3575757575758,52.7090909090909,0,0
"11/01/2010 04:10",9.5,8.9,8.71494165535772,73.34,54.8242424242424,53.3818181818182,0,0
"11/01/2010 04:20",9.3,8.4,8.22422652554603,75.69,52,46.6848484848485,0,0
"11/01/2010 04:30",9.1,8,7.83178246042215,76.52,50.0363636363636,41.5272727272727,0,0
"11/01/2010 04:40",8.9,8.7,8.51725780054682,75.53,45.5939393939394,50.0424242424242,0,0
"11/01/2010 04:50",8.7,7.8,7.63692012322231,76.54,42.3454545454545,35.9333333333333,0,0
"11/01/2010 05:00",8.7,7.3,7.14776759152058,78.86,42.0181818181818,30.5515151515152,0,0
"11/01/2010 05:10",9.4,7.5,7.34488784493442,80.8,52.2666666666667,35.430303030303,0,0
"11/01/2010 05:20",9,9.1,8.91056989993698,84.6,49.4666666666667,58.4969696969697,0,0
"11/01/2010 05:30",8.4,8.8,8.61708340568675,85.4,42.9030303030303,52.3272727272727,0,0
"11/01/2010 05:40",8.6,8.7,8.52069092692913,88.4,42.4424242424242,50.9454545454546,0,0
"11/01/2010 05:50",8.1,8.7,8.52207863557543,87.9,36.8424242424242,50.2787878787879,0,0
"11/01/2010 06:00",8.4,8.9,8.71818762510305,86.3,38.9393939393939,52.4,0,0
"11/01/2010 06:10",8.7,9.1,8.91315142784338,87.5,43.6727272727273,56.769696969697,0,0
"11/01/2010 06:20",9.5,9.5,9.30304572108203,87.6,57.8060606060606,63.6666666666667,0,0
"11/01/2010 06:30",9.9,9,8.81383348055193,90.1,65.2848484848485,55.4181818181818,0,0
"11/01/2010 06:40",9.3,8.6,8.42274270991141,91,55.0666666666667,48.9393939393939,0,0
"11/01/2010 06:50",8.8,8,7.83650771447052,90.9,45.8242424242424,40.7393939393939,0,0
"11/01/2010 07:00",8.7,7.9,7.73795900552615,89.3,43.7454545454545,40.3878787878788,0,0
"11/01/2010 07:10",8.9,8.1,7.93360057616096,87.6,44.5636363636364,41.9212121212121,0,0
"11/01/2010 07:20",9.2,8.3,8.12950088725749,89.1,50.6848484848485,46.630303030303,0,0
"11/01/2010 07:30",10.4,9.2,9.00987939216501,88.4,70.0121212121212,59.5757575757576,0,0
"11/01/2010 07:40",10.4,10.5,10.2817212062894,86.2,71.9757575757576,79.1878787878788,0,0
"11/01/2010 07:50",9.7,10.3,10.0856741839954,85.5,62.2242424242424,77.430303030303,0,0
"11/01/2010 08:00",9.6,10.4,10.1830213477016,87.1,59.5333333333333,76.0060606060606,0,0
"11/01/2010 08:10",10.5,10.4,10.185605443438,88,71.7151515151515,78.7090909090909,0,0
"11/01/2010 08:20",10.9,10.3,10.0891524444837,90,79.9090909090909,76.4545454545455,0,0
"11/01/2010 08:30",10.6,9.2,9.01182061875313,91.1,75.2969696969697,59.769696969697,0,0
"11/01/2010 08:40",10.6,9.1,8.91411179326702,91.2,76.3575757575758,58.4848484848485,0,0
"11/01/2010 08:50",9.9,9.9,9.69846675188658,92.9,63.9333333333333,67.4909090909091,0,0
"11/01/2010 09:00",9.3,8.9,8.71926327151622,92.2,57.7757575757576,52.2060606060606,0,0
"11/01/2010 09:10",8.8,8.3,8.13154516317119,95.4,48.4909090909091,43.8787878787879,0,0
"11/01/2010 09:20",9.3,8.9,8.7187508223488,94.9,57.5030303030303,53.169696969697,0,0
"11/01/2010 09:30",9.6,8.8,8.621738327519,95.3,60.3818181818182,54.0121212121212,0,0
"11/01/2010 09:40",9.8,9.5,9.3071565273763,100.8,61.1878787878788,62.7757575757576,0,0
"11/01/2010 09:50",9.5,9,8.81708520980117,101.2,56.4545454545455,55.969696969697,0,0
"11/01/2010 10:00",10.2,9.7,9.50653759617759,98.7,66.9272727272727,67.7939393939394,0,0
"11/01/2010 10:10",10.7,10.3,10.0926941194683,101.2,73.169696969697,76.3757575757576,0,0
"11/01/2010 10:20",10.7,10.6,10.3883500120466,101.3,76.2121212121212,81.8545454545454,0,0
"11/01/2010 10:30",10.2,9.6,9.41056347624115,102.4,64.7636363636364,66.0727272727273,0,0
"11/01/2010 10:40",9.7,9.7,9.50316552357276,106.4,55.7515151515152,66.3090909090909,0,0
"11/01/2010 10:50",9.2,9.4,9.20167819681532,111.4,52.2424242424242,64.169696969697,0,0
"11/01/2010 11:00",9.2,9.6,9.39725795356814,112.2,50.6242424242424,64.169696969697,0,0
"11/01/2010 11:10",8.8,9.2,9.00337256095309,109.9,42.7393939393939,56.8,0,0
"11/01/2010 11:20",9,8.7,8.51737519214064,106.4,45.7454545454545,52.2484848484849,0,0
"11/01/2010 11:30",8.7,8.9,8.7198415271151,107,42.9454545454545,52.5818181818182,0,0
"11/01/2010 11:40",8.3,8.8,8.62541100650027,106.2,38.0181818181818,50.5333333333333,0,0
"11/01/2010 11:50",8.3,8.7,8.52432932820722,108.9,37.5030303030303,50.6727272727273,0,0
"11/01/2010 12:00",7,8.3,8.13370245476306,110.2,30.3212121212121,46.5575757575758,0,0
"11/01/2010 12:10",5.6,7.8,7.64325386357792,112.5,19.2666666666667,37.5030303030303,1,0
"11/01/2010 12:20",5,7.6,7.44536479882399,115.4,12.0606060606061,36.1757575757576,0,0
"11/01/2010 12:30",5.3,8.2,8.02937144359558,116.4,14.3515151515152,42.4,0,0
"11/01/2010 12:40",5.9,8.2,8.02859490483188,116.7,19.1151515151515,43.8545454545455,0,0
"11/01/2010 12:50",5.6,8,7.83507173242293,118.5,18.7272727272727,42.6,0,0
"11/01/2010 13:00",6.2,8.4,8.22963301439431,118,21.7818181818182,45.8666666666667,0,0
"11/01/2010 13:10",6.5,8.7,8.5239378053101,118.3,24.0666666666667,48.5757575757576,0,0
"11/01/2010 16:20",6.8,7.1,6.9398563433171,101.3,24.8,18.2242424242424,0,0
"11/01/2010 16:30",6.9,6.9,6.74298087980428,105.3,23.7454545454545,28.2666666666667,0,0
"11/01/2010 16:40",7.7,7.9,7.71789760637419,101.7,30.2181818181818,37.3272727272727,0,0
"11/01/2010 16:50",7.7,7.1,6.93327031706535,106.3,30.6363636363636,29.3878787878788,0,0
"11/01/2010 17:00",6.5,5.6,5.46615840966987,98.3,18.8181818181818,14.7636363636364,0,0
"11/01/2010 17:10",6.3,5.8,5.65990495988516,99.9,16.8545454545455,16.7151515151515,0,0
"11/01/2010 17:20",7.2,6.6,6.43794105443769,96,25.7151515151515,23.3575757575758,0,0
